code_id,parent_id,nested_level,pq,construct,code_name,description,what_it_is_not,example_type,question_ids,status,instrument_version
SENSITIZING_STARTLIST,,0,both,startlist,SENSITIZING_STARTLIST,RETIRED v0.1.1. Replaced by STRUCTURAL plus FRAMEWORK_DEDUCTIVE so PQ mapping is filing not a parent of sensitizing probes. Do not import. Kept for audit of v0.1 transcripts.,Active parent,n/a,Q0,retired,ITDR-GQI-INT-v0.1.1
STRUCTURAL,,0,both,structural_parent,STRUCTURAL,"Parent for RQ-mapped structural codes. Use to tag excerpts by implied project question, incident context, or unanticipated content. Structural codes are filing labels not themes.",Theme family; findings,n/a,Q0,active,ITDR-GQI-INT-v0.1.1
PQ1_claim_attention,STRUCTURAL,1,PQ1,salience_cluster,PQ1_claim_attention,Structural: whose claim counted and why attention moved in the named incident. Maps to implied PQ1. Not a theme title.,A PQ1 theme title,competing restore claims,L1 L2 L3 A1 A2 A3 B1 B2 C1 C2,active,ITDR-GQI-INT-v0.1.1
PQ2_enactment,STRUCTURAL,1,PQ2,enactment_cluster,PQ2_enactment,Structural: how a salience shift was enacted as rights escalation and proof. Maps to implied PQ2. Not a theme title.,A PQ2 theme title,supposed vs actual decision maker,D1 D2 E1 E2 F1 F2 F3,active,ITDR-GQI-INT-v0.1.1
CONTEXT,STRUCTURAL,1,both,context,CONTEXT,"Incident setting that is not itself a salience or enactment claim: platform type, firm-size band, role, timing, channel. Descriptor-like; not a finding.",A finding; a theme title,failover on Platform-1 during payroll window,Q0,active,ITDR-GQI-INT-v0.1.1
UNANTICIPATED,STRUCTURAL,1,both,unanticipated,UNANTICIPATED,Content that does not map to PQ1/PQ2 or FRAMEWORK_DEDUCTIVE and is not a named boundary. Park here until a meaning unit is locked. Do not promote to a theme from this code alone.,A shortcut to EMERGENT theme names,vendor outage politics not tied to a claim or proof,Q-close,active,ITDR-GQI-INT-v0.1.1
FRAMEWORK_DEDUCTIVE,,0,both,framework_parent,FRAMEWORK_DEDUCTIVE,Sensitizing start-list derived from stakeholder salience and this study PQ2 enactment constructs (Mitchell et al. 1997). Deductive probes only. Not findings. Do not promote children to theme titles. Lock a meaning-unit practice sentence before any EMERGENT code is named.,Theme family; a priori findings,n/a,L1 A1 B1 C1 D1 E1 F1,active,ITDR-GQI-INT-v0.1.1
leverage_location,FRAMEWORK_DEDUCTIVE,1,PQ1,leverage_location,leverage_location,Who actually moved restore order delayed an action or redefined done and what supplied that pull. Sensitizing probe only. Do not promote to a theme title. Lock a meaning-unit practice sentence first. Lev is the enacted combination of P/L/U not a fourth salience attribute.,The word leverage in spoken questions; a finding that confirms Mitchell et al.; a fourth salience attribute,owner halted failover; payroll clock moved finance ahead of email,L1 L2 L3 Q-close,active,ITDR-GQI-INT-v0.1.1
power,FRAMEWORK_DEDUCTIVE,1,PQ1,power,power,Capacity to force withhold or override in the named incident. Sensitizing probe only. Do not promote to a theme title. Lock a meaning-unit practice sentence first.,Spoken question using the word power; a priori theme,could delay override or stop a recovery action,A1 A2 A3,active,ITDR-GQI-INT-v0.1.1
legitimacy,FRAMEWORK_DEDUCTIVE,1,PQ1,legitimacy,legitimacy,Claim treated as rightful because of role plan contract or regulation or treated as out of line. Sensitizing probe only. Do not promote to a theme title. Lock a meaning-unit practice sentence first.,Did you experience a legitimacy problem; a priori theme,request treated as they have a right to ask vs out of role,B1 B2,active,ITDR-GQI-INT-v0.1.1
