symbol,mitchell_type,attribute_mix,def_original,def_operational,spoken_standin,not_this,ref_original,ref_build_on,question_ids,code_id,origin,instrument_version
P,dormant,power-only,Stakeholder capacity to influence the firm via coercive utilitarian or normative means (Mitchell et al. 1997).,In the named incident a person or group could force withhold delay override or stop a recovery action.,request; pressure; delay; override; stop,Did you experience a power problem; Power as a theme title,REF-MITCHELL-1997,REF-AGLE-1999|REF-PARENT-DEEPHOUSE-2007,A1 A2 A3,power,original,ITDR-GQI-INT-v0.1.1
L,discretionary,legitimacy-only,Generalized perception that a claim or claimant is proper or appropriate within a socially constructed system of norms (Mitchell et al. 1997).,In the named incident a claim to a service or restore order was treated as rightful or as out of line.,right to ask; out of line; outside their role,Did you experience a legitimacy problem; NIST scoring; Legitimacy as a theme title,REF-MITCHELL-1997,REF-NEVILLE-2011|REF-DOROBANTU-2024,B1 B2,legitimacy,original,ITDR-GQI-INT-v0.1.1
U,demanding,urgency-only,Degree to which a stakeholder claim calls for immediate attention combining time sensitivity and criticality (Mitchell et al. 1997).,In the named incident a time-critical demand reordered attention or a claimed clock was not acted on.,time-critical; time pressure,Spoken codebook word urgency unless the participant said it first; Urgency as a theme title,REF-MITCHELL-1997,REF-NEVILLE-2011,C1 C2,urgency,original,ITDR-GQI-INT-v0.1.1
P+L,dominant,power+legitimacy,Mitchell et al. 1997 two-attribute type: power plus legitimacy.,Leverage memo only: both power and legitimacy examples (or documented boundaries) exist in the named incident.,not spoken; memo after L2/A/B,Delve theme title Dominant; forced choice power or legitimacy,REF-MITCHELL-1997,REF-AGLE-1999|REF-PARENT-DEEPHOUSE-2007,L2 A1 A2 B1 B2,leverage_location,original,ITDR-GQI-INT-v0.1.1
P+U,dangerous,power+urgency,Mitchell et al. 1997 two-attribute type: power plus urgency.,Leverage memo only: both power and urgency examples exist in the named incident.,not spoken; memo after L2/A/C,Delve theme title Dangerous,REF-MITCHELL-1997,REF-AGLE-1999|REF-NEVILLE-2011,L2 A1 A2 C1 C2,leverage_location,original,ITDR-GQI-INT-v0.1.1
L+U,dependent,legitimacy+urgency,Mitchell et al. 1997 two-attribute type: legitimacy plus urgency.,Leverage memo only: both legitimacy and urgency examples exist in the named incident.,not spoken; memo after L2/B/C,Delve theme title Dependent,REF-MITCHELL-1997,REF-NEVILLE-2011,L2 B1 B2 C1 C2,leverage_location,original,ITDR-GQI-INT-v0.1.1
P+L+U,definitive,definitive (all three),Mitchell et al. 1997 three-attribute type: power legitimacy and urgency.,Leverage memo only: all three attributes have a concrete example or documented boundary in the named incident.,not spoken; memo after L and A-C,Delve theme title Definitive; a finding that confirms Mitchell types,REF-MITCHELL-1997,REF-AGLE-1999|REF-PARENT-DEEPHOUSE-2007,L1 L2 L3 A1 A2 A3 B1 B2 C1 C2,leverage_location,original,ITDR-GQI-INT-v0.1.1
Lev,not_a_mitchell_type,enacted combination,No original Mitchell type. This study name for the enacted combination of P L and/or U.,Who actually moved restore order delayed an action or redefined done plus what supplied that pull in one named ITDRPaaS event.,who moved / who could have stopped it; position written rule clock something else; pull,A fourth salience attribute; spoken word leverage; unclear recoded as a type,REF-WALKER-2026-INSTRUMENT,REF-MITCHELL-1997,L1 L2 L3 Q-close,leverage_location,new_instrument,ITDR-GQI-INT-v0.1.1
DR,,,Not a Mitchell attribute. PQ2 enactment of who was authorized to decide.,Who was supposed to make the call on the restoration tradeoff versus who actually made it including authority needed but absent.,who was supposed to make the call and who actually made it,Org-chart finding detached from the incident; theme titled Decision Rights,REF-WALKER-2026-INSTRUMENT,REF-MITCHELL-1997,D1 D2,decision_rights,new_instrument,ITDR-GQI-INT-v0.1.1
ESC,,,Not a Mitchell attribute. PQ2 enactment of how a stalled or contested claim was moved upward or outward.,What triggered an escalation and whether it sped slowed or changed done. Nothing escalated is boundary no_escalation.,what if anything triggered an escalation; did it speed slow or change done,Failed interview if nothing was escalated; theme titled Escalation,REF-WALKER-2026-INSTRUMENT,REF-MITCHELL-1997,E1 E2,escalation,new_instrument,ITDR-GQI-INT-v0.1.1
EV,,,Not a Mitchell attribute. PQ2 enactment of what counted as enough proof of recovery.,What the manager treated as enough proof and whether anyone asked for different proof mid-incident.,enough proof; different proof mid-incident,NIST ISO BCM scoring; theme titled Evidence,REF-WALKER-2026-INSTRUMENT,REF-LOWRY-2025|REF-PARK-2023,F1 F2,evidentiary_standards,new_instrument,ITDR-GQI-INT-v0.1.1
RA,,,Reviewable decision-relevant evidence that prioritized services can be restored within tolerance (project-plan assurance sources; verify).,What the manager would point to (log test approval ticket or verbal reconstruction) to defend restoration. Path C is no_reviewable_proof.,what would you point to if you had to defend that restoration,Audit of the artifact; Path C as invalid data,REF-WALKER-2026-INSTRUMENT,REF-LOWRY-2025|REF-PARK-2023,F3,recoverability_assurance,new_instrument,ITDR-GQI-INT-v0.1.1
GQI,,,Patterned accounts of events decisions and conditions; theoretically informed items permitted (Caelli et al. 2003; Kahlke 2014; Percy et al. 2015).,Managers accounts of one named ITDRPaaS incident and the objects used in it.,walk me through that event,Lived experience; essence; voices,REF-CAELLI-2003|REF-KAHLKE-2014|REF-PERCY-2015,REF-LESTER-2020,Q0,CONTEXT,original,ITDR-GQI-INT-v0.1.1
CIT,,,Focused account of a named incident (Flanagan 1954; Chell 2004; Butterfield et al. 2005).,Q0 opening: one disruption failover test or operational recovery in 36 months.,Please walk me through one specific disruption failover recovery test or operational recovery,Guest et al. 2006 as the interview method,REF-FLANAGAN-1954|REF-CHELL-2004|REF-BUTTERFIELD-2005,REF-GUEST-2006,Q0,CONTEXT,original,ITDR-GQI-INT-v0.1.1
HybridTA,,,Deductive template plus inductive codes (Fereday and Muir-Cochrane 2006).,STRUCTURAL plus FRAMEWORK_DEDUCTIVE plus BOUNDARY then EMERGENT after meaning-unit lock.,not spoken,Reflexive TA mixed with kappa; analyzed using Delve,REF-FEREDAY-2006,REF-BRAUN-CLARKE-2019|REF-BRAUN-CLARKE-2021|REF-BRAUN-CLARKE-2022|REF-ARONSON-1994|REF-TAYLOR-BOGDAN-1998,,FRAMEWORK_DEDUCTIVE,original,ITDR-GQI-INT-v0.1.1
