id,level,parent_id,heading,slug,md_link,howto_link,howto_id,spine_nodes,alignment_nodes,tester_status,companions,status
CH3-H-001,H2,,Introduction,introduction,docs/chapter-iii-methodology.md#introduction,_CHPT III_Assension_db/pages/H-001-introduction.md,CH3-HT-001,Problem; Purpose; Questions,Topic / Problem; Gap; Questions,Strong,docs/chapter-iii-methodology.md#introduction | docs/alignment-assessment-data-collection.md,active
CH3-H-002,H2,,Research Design,research-design,docs/chapter-iii-methodology.md#research-design,_CHPT III_Assension_db/pages/H-002-research-design.md,CH3-HT-002,Purpose; Framework; Data sources,Methodology,Strong,docs/gqi-semistructured-interview-guide.md | docs/alignment-assessment-data-collection.md,active
CH3-H-003,H3,CH3-H-002,Generic qualitative inquiry,generic-qualitative-inquiry,docs/chapter-iii-methodology.md#generic-qualitative-inquiry,_CHPT III_Assension_db/pages/H-003-generic-qualitative-inquiry.md,CH3-HT-003,Purpose; Framework; Data sources,Methodology,Strong,docs/chapter-iii-methodology.md#generic-qualitative-inquiry,active
CH3-H-004,H3,CH3-H-002,Critical-incident interview stance,critical-incident-interview-stance,docs/chapter-iii-methodology.md#critical-incident-interview-stance,_CHPT III_Assension_db/pages/H-004-critical-incident-interview-stance.md,CH3-HT-004,Data sources; Collection,Methodology; Data Collection,Strong,docs/gqi-semistructured-interview-guide.md | docs/collection-analysis-revision-packet.md,active
CH3-H-005,H3,CH3-H-002,"Framework role: sensitizing, not confirmatory",framework-role-sensitizing-not-confirmatory,docs/chapter-iii-methodology.md#framework-role-sensitizing-not-confirmatory,_CHPT III_Assension_db/pages/H-005-framework-role-sensitizing-not-confirmatory.md,CH3-HT-005,Framework; Codes,Constructs / Phenomena / Variables; What We Know,Strong,docs/symbols-definitions-refs.md | docs/notion/templates/codebook.csv,active
CH3-H-006,H3,CH3-H-002,Alignment spine,alignment-spine,docs/chapter-iii-methodology.md#alignment-spine,_CHPT III_Assension_db/pages/H-006-alignment-spine.md,CH3-HT-006,Problem; Purpose; Questions; Framework; Data sources; Instrument questions; Collection; Codes; Categories; Themes_ChIV; Findings_ChIV; Conclusions_ChV,Topic / Problem; Gap; Questions; Constructs / Phenomena / Variables; Methodology; Measures/Artifacts; Data Collection; Data Analysis,Strong,docs/chapter-iii-methodology.md#alignment-spine | workspace-app/theory-spine.html,active
CH3-H-007,H2,,Population and Sampling,population-and-sampling,docs/chapter-iii-methodology.md#population-and-sampling,_CHPT III_Assension_db/pages/H-007-population-and-sampling.md,CH3-HT-007,Purpose; Collection,Population; Sample,Strong,docs/chapter-iii-methodology.md#population-and-sampling,active
CH3-H-008,H3,CH3-H-007,Population,population,docs/chapter-iii-methodology.md#population,_CHPT III_Assension_db/pages/H-008-population.md,CH3-HT-008,Purpose,Population,Strong,docs/alignment-assessment-data-collection.md,active
CH3-H-009,H3,CH3-H-007,Sampling strategy,sampling-strategy,docs/chapter-iii-methodology.md#sampling-strategy,_CHPT III_Assension_db/pages/H-009-sampling-strategy.md,CH3-HT-009,Collection; Questions,Sample,Strong,docs/chapter-iii-methodology.md#sampling-strategy,active
CH3-H-010,H2,,Recruitment,recruitment,docs/chapter-iii-methodology.md#recruitment,_CHPT III_Assension_db/pages/H-010-recruitment.md,CH3-HT-010,Collection,Recruitment; Procedures,Strong,docs/gqi-semistructured-interview-guide.md | docs/collection-analysis-revision-packet.md,active
CH3-H-011,H2,,Instrumentation,instrumentation,docs/chapter-iii-methodology.md#instrumentation,_CHPT III_Assension_db/pages/H-011-instrumentation.md,CH3-HT-011,Instrument questions; Data sources,Measures/Artifacts,Strong,docs/gqi-semistructured-interview-guide.md | docs/notion/templates/interview-items.csv,active
CH3-H-012,H3,CH3-H-011,Primary instrument,primary-instrument,docs/chapter-iii-methodology.md#primary-instrument,_CHPT III_Assension_db/pages/H-012-primary-instrument.md,CH3-HT-012,Instrument questions; Questions,Measures/Artifacts; Data Collection,Strong,docs/gqi-semistructured-interview-guide.md | docs/notion/templates/construct-index.csv | workspace-app/interview-protocol.html,active
CH3-H-013,H3,CH3-H-011,Researcher-only leverage diagnostic,researcher-only-leverage-diagnostic,docs/chapter-iii-methodology.md#researcher-only-leverage-diagnostic,_CHPT III_Assension_db/pages/H-013-researcher-only-leverage-diagnostic.md,CH3-HT-013,Framework; Codes,Constructs / Phenomena / Variables; Data Analysis,Strong,docs/symbols-definitions-refs.md | docs/notion/templates/leverage-memo.csv,active
CH3-H-014,H3,CH3-H-011,Secondary instrument: artifacts as context,secondary-instrument-artifacts-as-context,docs/chapter-iii-methodology.md#secondary-instrument-artifacts-as-context,_CHPT III_Assension_db/pages/H-014-secondary-instrument-artifacts-as-context.md,CH3-HT-014,Data sources; Collection,Measures/Artifacts; Procedures,Strong,docs/collection-analysis-revision-packet.md | docs/gqi-semistructured-interview-guide.md,active
CH3-H-015,H2,,Data Collection,data-collection,docs/chapter-iii-methodology.md#data-collection,_CHPT III_Assension_db/pages/H-015-data-collection.md,CH3-HT-015,Collection; Instrument questions,Data Collection; Procedures,Strong,docs/gqi-semistructured-interview-guide.md | docs/collection-analysis-revision-packet.md,active
CH3-H-016,H2,,Data Preparation and Management,data-preparation-and-management,docs/chapter-iii-methodology.md#data-preparation-and-management,_CHPT III_Assension_db/pages/H-016-data-preparation-and-management.md,CH3-HT-016,Collection; Codes,Procedures; Dependability,Strong,docs/notion/README.md | docs/notion/templates/update-log.csv,active
CH3-H-017,H2,,Qualitative Data Analysis,qualitative-data-analysis,docs/chapter-iii-methodology.md#qualitative-data-analysis,_CHPT III_Assension_db/pages/H-017-qualitative-data-analysis.md,CH3-HT-017,Codes; Categories; Themes_ChIV; Findings_ChIV,Data Analysis,Strong,docs/notion/templates/codebook.csv | workspace-app/analysis-templates.html,active
CH3-H-018,H3,CH3-H-017,Declaration of method,declaration-of-method,docs/chapter-iii-methodology.md#declaration-of-method,_CHPT III_Assension_db/pages/H-018-declaration-of-method.md,CH3-HT-018,Codes; Categories,Data Analysis; Methodology,Strong,docs/chapter-iii-methodology.md#declaration-of-method,active
CH3-H-019,H3,CH3-H-017,Why this method and not the adjacent alternatives,why-this-method-and-not-the-adjacent-alternatives,docs/chapter-iii-methodology.md#why-this-method-and-not-the-adjacent-alternatives,_CHPT III_Assension_db/pages/H-019-why-this-method-and-not-the-adjacent-alternatives.md,CH3-HT-019,Codes; Framework,Data Analysis; Methodology,Strong,docs/chapter-iii-methodology.md#why-this-method-and-not-the-adjacent-alternatives,active
CH3-H-020,H3,CH3-H-017,Analytic steps (adapted hybrid codebook TA),analytic-steps-adapted-hybrid-codebook-ta,docs/chapter-iii-methodology.md#analytic-steps-adapted-hybrid-codebook-ta,_CHPT III_Assension_db/pages/H-020-analytic-steps-adapted-hybrid-codebook-ta.md,CH3-HT-020,Codes; Categories; Themes_ChIV,Data Analysis,Strong,docs/collection-analysis-revision-packet.md | workspace-app/analysis-templates.html,active
CH3-H-021,H3,CH3-H-017,Delve nested start-list (import; do not treat as themes),delve-nested-start-list-import-do-not-treat-as-themes,docs/chapter-iii-methodology.md#delve-nested-start-list-import-do-not-treat-as-themes,_CHPT III_Assension_db/pages/H-021-delve-nested-start-list-import-do-not-treat-as-themes.md,CH3-HT-021,Codes,Data Analysis; Constructs / Phenomena / Variables,Strong,docs/notion/templates/codebook.csv | docs/notion/templates/construct-index.csv,active
CH3-H-022,H3,CH3-H-017,Planned-analysis matrix,planned-analysis-matrix,docs/chapter-iii-methodology.md#planned-analysis-matrix,_CHPT III_Assension_db/pages/H-022-planned-analysis-matrix.md,CH3-HT-022,Instrument questions; Codes; Questions; Themes_ChIV; Findings_ChIV,Measures/Artifacts; Data Analysis; Questions,Partial,docs/chapter-iii-methodology.md#planned-analysis-matrix | docs/notion/templates/interview-items.csv,active
CH3-H-023,H3,CH3-H-017,Ten control rules,ten-control-rules,docs/chapter-iii-methodology.md#ten-control-rules,_CHPT III_Assension_db/pages/H-023-ten-control-rules.md,CH3-HT-023,Codes; Themes_ChIV; Findings_ChIV; Conclusions_ChV,Data Analysis; Dependability,Strong,docs/chapter-iii-methodology.md#ten-control-rules,active
CH3-H-024,H3,CH3-H-017,Chapter III versus Chapter IV versus Chapter V,chapter-iii-versus-chapter-iv-versus-chapter-v,docs/chapter-iii-methodology.md#chapter-iii-versus-chapter-iv-versus-chapter-v,_CHPT III_Assension_db/pages/H-024-chapter-iii-versus-chapter-iv-versus-chapter-v.md,CH3-HT-024,Themes_ChIV; Findings_ChIV; Conclusions_ChV,Data Analysis; Questions,Strong,docs/chapter-iii-methodology.md#chapter-iii-versus-chapter-iv-versus-chapter-v,active
CH3-H-025,H3,CH3-H-017,Optional: committee-required second coder and ICR,optional-committee-required-second-coder-and-icr,docs/chapter-iii-methodology.md#optional-committee-required-second-coder-and-icr,_CHPT III_Assension_db/pages/H-025-optional-committee-required-second-coder-and-icr.md,CH3-HT-025,Codes,Dependability; Data Analysis,Strong,docs/chapter-iii-methodology.md#optional-committee-required-second-coder-and-icr,active
CH3-H-026,H2,,Trustworthiness,trustworthiness,docs/chapter-iii-methodology.md#trustworthiness,_CHPT III_Assension_db/pages/H-026-trustworthiness.md,CH3-HT-026,Collection; Codes; Findings_ChIV,Dependability; Procedures,Strong,docs/chapter-iii-methodology.md#trustworthiness,active
CH3-H-027,H2,,Ethical Protections,ethical-protections,docs/chapter-iii-methodology.md#ethical-protections,_CHPT III_Assension_db/pages/H-027-ethical-protections.md,CH3-HT-027,Collection,Procedures; Recruitment,Strong,docs/gqi-semistructured-interview-guide.md | docs/collection-analysis-revision-packet.md,active
CH3-H-028,H2,,Chapter Summary,chapter-summary,docs/chapter-iii-methodology.md#chapter-summary,_CHPT III_Assension_db/pages/H-028-chapter-summary.md,CH3-HT-028,Problem; Purpose; Questions; Collection; Codes; Themes_ChIV; Conclusions_ChV,Methodology; Data Analysis,Strong,docs/chapter-iii-methodology.md#chapter-summary,active
CH3-H-029,H2,,References,references,docs/chapter-iii-methodology.md#references,_CHPT III_Assension_db/pages/H-029-references.md,CH3-HT-029,Framework,What We Know; Methodology; Data Analysis,Strong,docs/notion/templates/references.csv | docs/symbols-definitions-refs.md,active
