id,header_id,heading,target_path,target_anchor,why,target_kind
CH3-XW-001,CH3-H-001,Introduction,docs/gqi-semistructured-interview-guide.md,,Spoken protocol companion,instrument
CH3-XW-002,CH3-H-001,Introduction,docs/symbols-definitions-refs.md,,Symbol and original vs build-on lock,theory
CH3-XW-003,CH3-H-001,Introduction,docs/notion/templates/construct-index.csv,,Question ID to code_id map,codebook
CH3-XW-004,CH3-H-001,Introduction,docs/notion/templates/codebook.csv,,Delve nested start-list,codebook
CH3-XW-005,CH3-H-001,Introduction,docs/collection-analysis-revision-packet.md,,Paste-ready collection and analysis steps,howto
CH3-XW-006,CH3-H-001,Introduction,workspace-app/interview-protocol.html,,Interview protocol alignment tab,workspace
CH3-XW-007,CH3-H-001,Introduction,docs/chapter-iii-methodology.md#introduction,,Listed companion,companion
CH3-XW-008,CH3-H-001,Introduction,docs/alignment-assessment-data-collection.md,,Listed companion,companion
CH3-XW-009,CH3-H-002,Research Design,docs/gqi-semistructured-interview-guide.md,,Spoken protocol companion,instrument
CH3-XW-010,CH3-H-002,Research Design,docs/symbols-definitions-refs.md,,Symbol and original vs build-on lock,theory
CH3-XW-011,CH3-H-002,Research Design,docs/notion/templates/construct-index.csv,,Question ID to code_id map,codebook
CH3-XW-012,CH3-H-002,Research Design,docs/notion/templates/codebook.csv,,Delve nested start-list,codebook
CH3-XW-013,CH3-H-002,Research Design,docs/collection-analysis-revision-packet.md,,Paste-ready collection and analysis steps,howto
CH3-XW-014,CH3-H-002,Research Design,workspace-app/interview-protocol.html,,Interview protocol alignment tab,workspace
CH3-XW-015,CH3-H-002,Research Design,docs/alignment-assessment-data-collection.md,,Listed companion,companion
CH3-XW-016,CH3-H-003,Generic qualitative inquiry,docs/gqi-semistructured-interview-guide.md,,Spoken protocol companion,instrument
CH3-XW-017,CH3-H-003,Generic qualitative inquiry,docs/symbols-definitions-refs.md,,Symbol and original vs build-on lock,theory
CH3-XW-018,CH3-H-003,Generic qualitative inquiry,docs/notion/templates/construct-index.csv,,Question ID to code_id map,codebook
CH3-XW-019,CH3-H-003,Generic qualitative inquiry,docs/notion/templates/codebook.csv,,Delve nested start-list,codebook
CH3-XW-020,CH3-H-003,Generic qualitative inquiry,docs/collection-analysis-revision-packet.md,,Paste-ready collection and analysis steps,howto
CH3-XW-021,CH3-H-003,Generic qualitative inquiry,workspace-app/interview-protocol.html,,Interview protocol alignment tab,workspace
CH3-XW-022,CH3-H-003,Generic qualitative inquiry,docs/chapter-iii-methodology.md#generic-qualitative-inquiry,,Listed companion,companion
CH3-XW-023,CH3-H-004,Critical-incident interview stance,docs/gqi-semistructured-interview-guide.md,,Spoken protocol companion,instrument
CH3-XW-024,CH3-H-004,Critical-incident interview stance,docs/symbols-definitions-refs.md,,Symbol and original vs build-on lock,theory
CH3-XW-025,CH3-H-004,Critical-incident interview stance,docs/notion/templates/construct-index.csv,,Question ID to code_id map,codebook
CH3-XW-026,CH3-H-004,Critical-incident interview stance,docs/notion/templates/codebook.csv,,Delve nested start-list,codebook
CH3-XW-027,CH3-H-004,Critical-incident interview stance,docs/collection-analysis-revision-packet.md,,Paste-ready collection and analysis steps,howto
CH3-XW-028,CH3-H-004,Critical-incident interview stance,workspace-app/interview-protocol.html,,Interview protocol alignment tab,workspace
CH3-XW-029,CH3-H-005,"Framework role: sensitizing, not confirmatory",docs/gqi-semistructured-interview-guide.md,,Spoken protocol companion,instrument
CH3-XW-030,CH3-H-005,"Framework role: sensitizing, not confirmatory",docs/symbols-definitions-refs.md,,Symbol and original vs build-on lock,theory
CH3-XW-031,CH3-H-005,"Framework role: sensitizing, not confirmatory",docs/notion/templates/construct-index.csv,,Question ID to code_id map,codebook
CH3-XW-032,CH3-H-005,"Framework role: sensitizing, not confirmatory",docs/notion/templates/codebook.csv,,Delve nested start-list,codebook
CH3-XW-033,CH3-H-005,"Framework role: sensitizing, not confirmatory",docs/collection-analysis-revision-packet.md,,Paste-ready collection and analysis steps,howto
CH3-XW-034,CH3-H-005,"Framework role: sensitizing, not confirmatory",workspace-app/interview-protocol.html,,Interview protocol alignment tab,workspace
CH3-XW-035,CH3-H-006,Alignment spine,docs/gqi-semistructured-interview-guide.md,,Spoken protocol companion,instrument
CH3-XW-036,CH3-H-006,Alignment spine,docs/symbols-definitions-refs.md,,Symbol and original vs build-on lock,theory
CH3-XW-037,CH3-H-006,Alignment spine,docs/notion/templates/construct-index.csv,,Question ID to code_id map,codebook
CH3-XW-038,CH3-H-006,Alignment spine,docs/notion/templates/codebook.csv,,Delve nested start-list,codebook
CH3-XW-039,CH3-H-006,Alignment spine,docs/collection-analysis-revision-packet.md,,Paste-ready collection and analysis steps,howto
CH3-XW-040,CH3-H-006,Alignment spine,workspace-app/interview-protocol.html,,Interview protocol alignment tab,workspace
CH3-XW-041,CH3-H-006,Alignment spine,docs/chapter-iii-methodology.md#alignment-spine,,Listed companion,companion
CH3-XW-042,CH3-H-006,Alignment spine,workspace-app/theory-spine.html,,Listed companion,companion
CH3-XW-043,CH3-H-007,Population and Sampling,docs/gqi-semistructured-interview-guide.md,,Spoken protocol companion,instrument
CH3-XW-044,CH3-H-007,Population and Sampling,docs/symbols-definitions-refs.md,,Symbol and original vs build-on lock,theory
