id,chapter,dissertation_event,needed_item,status,where_it_lives,spine_node,alignment_tester,howto_or_link,notes
CH3-EV-020,III,Methodology chapter,Introduction,in_nest,docs/chapter-iii-methodology.md#introduction,Problem,Topic / Problem,_CHPT III_Assension_db/pages/H-001-introduction.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-021,III,Methodology chapter,Research Design,in_nest,docs/chapter-iii-methodology.md#research-design,Purpose,Methodology,_CHPT III_Assension_db/pages/H-002-research-design.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-022,III,Methodology chapter,Generic qualitative inquiry,in_nest,docs/chapter-iii-methodology.md#generic-qualitative-inquiry,Purpose,Methodology,_CHPT III_Assension_db/pages/H-003-generic-qualitative-inquiry.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-023,III,Methodology chapter,Critical-incident interview stance,in_nest,docs/chapter-iii-methodology.md#critical-incident-interview-stance,Data sources,Methodology,_CHPT III_Assension_db/pages/H-004-critical-incident-interview-stance.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-024,III,Methodology chapter,"Framework role: sensitizing, not confirmatory",in_nest,docs/chapter-iii-methodology.md#framework-role-sensitizing-not-confirmatory,Framework,Constructs / Phenomena / Variables,_CHPT III_Assension_db/pages/H-005-framework-role-sensitizing-not-confirmatory.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-025,III,Methodology chapter,Alignment spine,in_nest,docs/chapter-iii-methodology.md#alignment-spine,Problem,Topic / Problem,_CHPT III_Assension_db/pages/H-006-alignment-spine.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-026,III,Methodology chapter,Population and Sampling,in_nest,docs/chapter-iii-methodology.md#population-and-sampling,Purpose,Population,_CHPT III_Assension_db/pages/H-007-population-and-sampling.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-027,III,Methodology chapter,Population,in_nest,docs/chapter-iii-methodology.md#population,Purpose,Population,_CHPT III_Assension_db/pages/H-008-population.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-028,III,Methodology chapter,Sampling strategy,in_nest,docs/chapter-iii-methodology.md#sampling-strategy,Collection,Sample,_CHPT III_Assension_db/pages/H-009-sampling-strategy.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
CH3-EV-029,III,Methodology chapter,Recruitment,in_nest,docs/chapter-iii-methodology.md#recruitment,Collection,Recruitment,_CHPT III_Assension_db/pages/H-010-recruitment.md,Linked how-to lives in pages/. Do not duplicate chapter prose here.
