id,header_id,heading,purpose,do,do_not,spine_check,tester_check,companion_links,howto_link
CH3-HT-001,CH3-H-001,Introduction,State what Chapter III plans and what it must not claim.,"Keep the chapter as Capella operations-cluster prose. Name GQI, CIT, hybrid codebook TA, and Delve as CAQDAS only.","Do not name Chapter IV themes, write 'lived experience,' or say data will be analyzed using Delve.",Problem; Purpose; Questions,Tester checks Topic/Problem and Gap restatement without findings.,docs/chapter-iii-methodology.md#introduction | docs/alignment-assessment-data-collection.md,_CHPT III_Assension_db/pages/H-001-introduction.md
CH3-HT-002,CH3-H-002,Research Design,"Declare GQI + CIT with a sensitizing, not confirmatory, framework.",Keep unit of analysis as one U.S. SME manager recounting one qualifying ITDRPaaS incident in 36 months.,"Do not convert the design into phenomenology, an audit, or a confirmatory test of Mitchell et al. (1997).",Purpose; Framework; Data sources,Tester checks Methodology* for GQI language and absence of essence claims.,docs/gqi-semistructured-interview-guide.md | docs/alignment-assessment-data-collection.md,_CHPT III_Assension_db/pages/H-002-research-design.md
CH3-HT-003,CH3-H-003,Generic qualitative inquiry,"Justify GQI as accounts of external events, decisions, and artifacts.",Permit theoretically informed items only if they stay in manager language and constructs are not treated as conclusions.,"Do not use lived experience, essence, or voices as analytic claims.",Purpose; Framework; Data sources,Tester checks Methodology* against Capella GQI (not phenomenology).,docs/chapter-iii-methodology.md#generic-qualitative-inquiry,_CHPT III_Assension_db/pages/H-003-generic-qualitative-inquiry.md
CH3-HT-004,CH3-H-004,Critical-incident interview stance,"Bind talk to one named disruption, failover, test, or operational recovery.","Use CIT because the gap is operational: competing claims when restoration is ranked, delayed, or declared done.",Do not treat Guest et al. (2006) as the interview method.,Data sources; Collection,Tester checks that Data Collection stays incident-bound.,docs/gqi-semistructured-interview-guide.md | docs/collection-analysis-revision-packet.md,_CHPT III_Assension_db/pages/H-004-critical-incident-interview-stance.md
CH3-HT-005,CH3-H-005,"Framework role: sensitizing, not confirmatory","Place PLU and enactment constructs on Constructs, not as pre-named themes.","Cite Mitchell et al. (1997) as original; later work as build-on. Keep leverage as enacted combination, not a fourth attribute.",Do not pre-write Chapter IV themes from the seven labels.,Framework; Codes,"Tester checks Constructs are sensitizing probes, not a priori findings.",docs/symbols-definitions-refs.md | docs/notion/templates/codebook.csv,_CHPT III_Assension_db/pages/H-005-framework-role-sensitizing-not-confirmatory.md
CH3-HT-006,CH3-H-006,Alignment spine,Keep the planned chain intact from Problem through Chapter V interpretation.,Use the spine table as the alignment tester for every later header. Empty Theme/Finding cells until Chapter IV.,Do not claim SAL → DR → ESC → AE as a proven substantive theory.,Problem; Purpose; Questions; Framework; Data sources; Instrument questions; Collection; Codes; Categories; Themes_ChIV; Findings_ChIV; Conclusions_ChV,Tester walks Problem → Purpose → PQs → Framework → sources → items → collection → codes → categories → themes.,docs/chapter-iii-methodology.md#alignment-spine | workspace-app/theory-spine.html,_CHPT III_Assension_db/pages/H-006-alignment-spine.md
CH3-HT-007,CH3-H-007,Population and Sampling,Name who can close the Gap and how they are selected.,Keep U.S. SME IT/network/systems/infrastructure/operations managers on external recovery platforms.,Do not recruit vendor-only staff or executives with no operational recovery role.,Purpose; Collection,Tester checks Population* and Sample* against inclusion and information power.,docs/chapter-iii-methodology.md#population-and-sampling,_CHPT III_Assension_db/pages/H-007-population-and-sampling.md
CH3-HT-008,CH3-H-008,Population,Bound the population at U.S. SMEs (10–200 personnel) with a named ITDRPaaS incident in 36 months.,Require a direct operational recovery role on an external platform or managed recovery service.,Do not include vendor staff whose only role is operating the platform for clients.,Purpose,"Tester checks Population* matches the Gap (SME managers, not large-enterprise command).",docs/alignment-assessment-data-collection.md,_CHPT III_Assension_db/pages/H-008-population.md
CH3-HT-009,CH3-H-009,Sampling strategy,"Justify n = 10–15 with information power, not automatic saturation.",Use purposive/criterion sampling. Stopping is an analytic decision from the codebook and meaning-unit inventory.,"Do not use Guest et al. (2006) to justify CIT, sample size in advance, or a claim that 12 interviews suffice.",Collection; Questions,"Tester checks Sample* for information power (Malterud et al., 2016).",docs/chapter-iii-methodology.md#sampling-strategy,_CHPT III_Assension_db/pages/H-009-sampling-strategy.md
CH3-HT-010,CH3-H-010,Recruitment,"Protect PQ2 data quality by recruiting individually, not through a supervisor chain.","Screen inclusion, email consent, then schedule 60–75 minutes. Assign P## before the call.",Do not continue an interview from a generic 'how we usually recover' account.,Collection,"Tester checks Recruitment* channel, length, and consent sequence.",docs/gqi-semistructured-interview-guide.md | docs/collection-analysis-revision-packet.md,_CHPT III_Assension_db/pages/H-010-recruitment.md
CH3-HT-011,CH3-H-011,Instrumentation,Name the primary interview guide and the secondary artifact review.,Keep theoretical labels in the codebook. Spoken questions use manager language.,Do not treat the unpublished instrument as a theory source.,Instrument questions; Data sources,Tester checks Measures/Artifacts have collectable items for each construct.,docs/gqi-semistructured-interview-guide.md | docs/notion/templates/interview-items.csv,_CHPT III_Assension_db/pages/H-011-instrumentation.md
CH3-HT-012,CH3-H-012,Primary instrument,"Run ITDR-GQI-INT-v0.1.1: ethics, Q0, Set L, Sets A–F, Q-close, skip-if-covered, boundary cases.",Skip a set only when a concrete example already exists. Boundary cases are valid data.,"Do not introduce power, legitimacy, urgency, or proof in Q0.",Instrument questions; Questions,Tester checks each Gap construct has a collectable item or skip-plus-boundary.,docs/gqi-semistructured-interview-guide.md | docs/notion/templates/construct-index.csv | workspace-app/interview-protocol.html,_CHPT III_Assension_db/pages/H-012-primary-instrument.md
CH3-HT-013,CH3-H-013,Researcher-only leverage diagnostic,Complete one leverage-memo row after the session; never read it to the participant.,Map attribute_mix to Mitchell type names as memo values only.,Do not import Mitchell type names into Delve as theme titles or Chapter IV headings. Leverage is not a fourth salience attribute.,Framework; Codes,Tester checks Constructs vs Data Analysis: memo labels are not findings.,docs/symbols-definitions-refs.md | docs/notion/templates/leverage-memo.csv,_CHPT III_Assension_db/pages/H-013-researcher-only-leverage-diagnostic.md
CH3-HT-014,CH3-H-014,Secondary instrument: artifacts as context,"Review objects the manager names in the incident via Path A (redacted share), B (verbal reconstruction), or C (none named).",File Path A as P##_ART##. Recode empty Path A after 14 days as Path B. Path C is a recoverability-assurance boundary.,Do not score artifacts against NIST/ISO/BCM. Do not invent contents the participant did not state. Refusal to share does not end the interview.,Data sources; Collection,Tester checks Measures/Artifacts have an obtain / refuse / de-identify / map rule.,docs/collection-analysis-revision-packet.md | docs/gqi-semistructured-interview-guide.md,_CHPT III_Assension_db/pages/H-014-secondary-instrument-artifacts-as-context.md
CH3-HT-015,CH3-H-015,Data Collection,Execute one recorded 60–75 minute video interview plus artifact intake.,Confirm consent and inclusion; read the ethics script; keep probes inside the named event; stop if the recorder fails.,"Do not offer forced choices or continue from memory. Completeness is a collection standard, not a finding.",Collection; Instrument questions,"Tester checks Data Collection* has written steps, not only named instruments.",docs/gqi-semistructured-interview-guide.md | docs/collection-analysis-revision-packet.md,_CHPT III_Assension_db/pages/H-015-data-collection.md
CH3-HT-016,CH3-H-016,Data Preparation and Management,"Move RAW → CLEAN → ANALYTIC, with dated CSV nest backups.","Import only CLEAN transcripts to Delve. Member-check CLEAN facts, not ANALYTIC theme names.",Do not put RAW identifiers in the public nest. Participants may not delete a de-identified contested decision.,Collection; Codes,Tester checks Dependability* for a retraceable audit trail.,docs/notion/README.md | docs/notion/templates/update-log.csv,_CHPT III_Assension_db/pages/H-016-data-preparation-and-management.md
CH3-HT-017,CH3-H-017,Qualitative Data Analysis,Name hybrid codebook TA as the method; keep Theme/Finding cells empty.,"Lock meaning units before theme names. Import STRUCTURAL, FRAMEWORK_DEDUCTIVE, and BOUNDARY; leave EMERGENT empty at first code.","Do not write that data will be analyzed using Delve, or that themes emerged.",Codes; Categories; Themes_ChIV; Findings_ChIV,"Tester checks Data Analysis stays a reduction method, not pre-named themes.",docs/notion/templates/codebook.csv | workspace-app/analysis-templates.html,_CHPT III_Assension_db/pages/H-017-qualitative-data-analysis.md
CH3-HT-018,CH3-H-018,Declaration of method,"Declare hybrid deductive–inductive codebook thematic analysis (Fereday & Muir-Cochrane, 2006).","Cite Braun and Clarke for quality of thematic practice only. Default trustworthiness is audit trail, not kappa.",Do not mix ICR with a claim that the study is doing reflexive TA.,Codes; Categories,Tester checks Data Analysis names a method that can map PQ1/PQ2 onto a versioned codebook.,docs/chapter-iii-methodology.md#declaration-of-method,_CHPT III_Assension_db/pages/H-018-declaration-of-method.md
CH3-HT-019,CH3-H-019,Why this method and not the adjacent alternatives,"Reject reflexive TA as method, purely inductive TA, confirmatory Mitchell coding, NIST scoring, and Delve-as-method.",Keep the adjacent-choice table in the chapter when reviewers ask 'why not NVivo/RTA/content analysis.',Do not treat CAQDAS as the analytic method.,Codes; Framework,Tester checks Methodology and Data Analysis do not drift into audit or phenomenology.,docs/chapter-iii-methodology.md#why-this-method-and-not-the-adjacent-alternatives,_CHPT III_Assension_db/pages/H-019-why-this-method-and-not-the-adjacent-alternatives.md
