id,header_id,heading,spine_node,this_study,alignment_tester,notes
CH3-SP-001,CH3-H-001,Introduction,Problem,SME IT/network managers must handle competing restoration claims on external platforms without a clear account of how authority and proof are enacted under time pressure.,Topic / Problem,State what Chapter III plans and what it must not claim.
CH3-SP-002,CH3-H-001,Introduction,Purpose,"Describe how those managers account for stakeholder-claim management and salience shifts in one named ITDRPaaS recovery or test event, and how those shifts are enacted as decision rights, escalation, and defensible proof.",Topic / Problem,State what Chapter III plans and what it must not claim.
CH3-SP-003,CH3-H-001,Introduction,Questions,"Implied PQ1 (claim attention / salience shifts) and PQ2 (enactment as rights, escalation, proof). Official RQ wording will replace these labels when locked.",Topic / Problem,State what Chapter III plans and what it must not claim.
CH3-SP-004,CH3-H-002,Research Design,Purpose,"Describe how those managers account for stakeholder-claim management and salience shifts in one named ITDRPaaS recovery or test event, and how those shifts are enacted as decision rights, escalation, and defensible proof.",Methodology,"Declare GQI + CIT with a sensitizing, not confirmatory, framework."
CH3-SP-005,CH3-H-002,Research Design,Framework,"Mitchell et al. (1997) power, legitimacy, urgency as sensitizing attributes; leverage as the enacted combination; PQ2 constructs as enactment probes.",Methodology,"Declare GQI + CIT with a sensitizing, not confirmatory, framework."
CH3-SP-006,CH3-H-002,Research Design,Data sources,Critical-incident interviews; optional redacted artifacts or verbal reconstructions of what those artifacts did in the event.,Methodology,"Declare GQI + CIT with a sensitizing, not confirmatory, framework."
CH3-SP-007,CH3-H-003,Generic qualitative inquiry,Purpose,"Describe how those managers account for stakeholder-claim management and salience shifts in one named ITDRPaaS recovery or test event, and how those shifts are enacted as decision rights, escalation, and defensible proof.",Methodology,"Justify GQI as accounts of external events, decisions, and artifacts."
CH3-SP-008,CH3-H-003,Generic qualitative inquiry,Framework,"Mitchell et al. (1997) power, legitimacy, urgency as sensitizing attributes; leverage as the enacted combination; PQ2 constructs as enactment probes.",Methodology,"Justify GQI as accounts of external events, decisions, and artifacts."
CH3-SP-009,CH3-H-003,Generic qualitative inquiry,Data sources,Critical-incident interviews; optional redacted artifacts or verbal reconstructions of what those artifacts did in the event.,Methodology,"Justify GQI as accounts of external events, decisions, and artifacts."
CH3-SP-010,CH3-H-004,Critical-incident interview stance,Data sources,Critical-incident interviews; optional redacted artifacts or verbal reconstructions of what those artifacts did in the event.,Methodology,"Bind talk to one named disruption, failover, test, or operational recovery."
CH3-SP-011,CH3-H-004,Critical-incident interview stance,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Methodology,"Bind talk to one named disruption, failover, test, or operational recovery."
CH3-SP-012,CH3-H-005,"Framework role: sensitizing, not confirmatory",Framework,"Mitchell et al. (1997) power, legitimacy, urgency as sensitizing attributes; leverage as the enacted combination; PQ2 constructs as enactment probes.",Constructs / Phenomena / Variables,"Place PLU and enactment constructs on Constructs, not as pre-named themes."
CH3-SP-013,CH3-H-005,"Framework role: sensitizing, not confirmatory",Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Constructs / Phenomena / Variables,"Place PLU and enactment constructs on Constructs, not as pre-named themes."
CH3-SP-014,CH3-H-006,Alignment spine,Problem,SME IT/network managers must handle competing restoration claims on external platforms without a clear account of how authority and proof are enacted under time pressure.,Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-015,CH3-H-006,Alignment spine,Purpose,"Describe how those managers account for stakeholder-claim management and salience shifts in one named ITDRPaaS recovery or test event, and how those shifts are enacted as decision rights, escalation, and defensible proof.",Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-016,CH3-H-006,Alignment spine,Questions,"Implied PQ1 (claim attention / salience shifts) and PQ2 (enactment as rights, escalation, proof). Official RQ wording will replace these labels when locked.",Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-017,CH3-H-006,Alignment spine,Framework,"Mitchell et al. (1997) power, legitimacy, urgency as sensitizing attributes; leverage as the enacted combination; PQ2 constructs as enactment probes.",Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-018,CH3-H-006,Alignment spine,Data sources,Critical-incident interviews; optional redacted artifacts or verbal reconstructions of what those artifacts did in the event.,Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-019,CH3-H-006,Alignment spine,Instrument questions,ITDR-GQI-INT-v0.1.1: Q0; Set L; Sets A–F; Q-close; skip-if-covered; boundary cases.,Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-020,CH3-H-006,Alignment spine,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-021,CH3-H-006,Alignment spine,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-022,CH3-H-006,Alignment spine,Categories,"Grouped meaning units that describe the same salience-to-assurance bargain, named in Chapter IV.",Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-023,CH3-H-006,Alignment spine,Themes_ChIV,"Patterned-meaning claims, not topic headings, named in Chapter IV.",Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-024,CH3-H-006,Alignment spine,Findings_ChIV,Chapter IV reports. Not claimed in Chapter III.,Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-025,CH3-H-006,Alignment spine,Conclusions_ChV,Chapter V interprets. Not claimed in Chapter III.,Topic / Problem,Keep the planned chain intact from Problem through Chapter V interpretation.
CH3-SP-026,CH3-H-007,Population and Sampling,Purpose,"Describe how those managers account for stakeholder-claim management and salience shifts in one named ITDRPaaS recovery or test event, and how those shifts are enacted as decision rights, escalation, and defensible proof.",Population,Name who can close the Gap and how they are selected.
CH3-SP-027,CH3-H-007,Population and Sampling,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Population,Name who can close the Gap and how they are selected.
CH3-SP-028,CH3-H-008,Population,Purpose,"Describe how those managers account for stakeholder-claim management and salience shifts in one named ITDRPaaS recovery or test event, and how those shifts are enacted as decision rights, escalation, and defensible proof.",Population,Bound the population at U.S. SMEs (10–200 personnel) with a named ITDRPaaS incident in 36 months.
CH3-SP-029,CH3-H-009,Sampling strategy,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Sample,"Justify n = 10–15 with information power, not automatic saturation."
CH3-SP-030,CH3-H-009,Sampling strategy,Questions,"Implied PQ1 (claim attention / salience shifts) and PQ2 (enactment as rights, escalation, proof). Official RQ wording will replace these labels when locked.",Sample,"Justify n = 10–15 with information power, not automatic saturation."
CH3-SP-031,CH3-H-010,Recruitment,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Recruitment,"Protect PQ2 data quality by recruiting individually, not through a supervisor chain."
CH3-SP-032,CH3-H-011,Instrumentation,Instrument questions,ITDR-GQI-INT-v0.1.1: Q0; Set L; Sets A–F; Q-close; skip-if-covered; boundary cases.,Measures/Artifacts,Name the primary interview guide and the secondary artifact review.
CH3-SP-033,CH3-H-011,Instrumentation,Data sources,Critical-incident interviews; optional redacted artifacts or verbal reconstructions of what those artifacts did in the event.,Measures/Artifacts,Name the primary interview guide and the secondary artifact review.
CH3-SP-034,CH3-H-012,Primary instrument,Instrument questions,ITDR-GQI-INT-v0.1.1: Q0; Set L; Sets A–F; Q-close; skip-if-covered; boundary cases.,Measures/Artifacts,"Run ITDR-GQI-INT-v0.1.1: ethics, Q0, Set L, Sets A–F, Q-close, skip-if-covered, boundary cases."
CH3-SP-035,CH3-H-012,Primary instrument,Questions,"Implied PQ1 (claim attention / salience shifts) and PQ2 (enactment as rights, escalation, proof). Official RQ wording will replace these labels when locked.",Measures/Artifacts,"Run ITDR-GQI-INT-v0.1.1: ethics, Q0, Set L, Sets A–F, Q-close, skip-if-covered, boundary cases."
CH3-SP-036,CH3-H-013,Researcher-only leverage diagnostic,Framework,"Mitchell et al. (1997) power, legitimacy, urgency as sensitizing attributes; leverage as the enacted combination; PQ2 constructs as enactment probes.",Constructs / Phenomena / Variables,Complete one leverage-memo row after the session; never read it to the participant.
CH3-SP-037,CH3-H-013,Researcher-only leverage diagnostic,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Constructs / Phenomena / Variables,Complete one leverage-memo row after the session; never read it to the participant.
CH3-SP-038,CH3-H-014,Secondary instrument: artifacts as context,Data sources,Critical-incident interviews; optional redacted artifacts or verbal reconstructions of what those artifacts did in the event.,Measures/Artifacts,"Review objects the manager names in the incident via Path A (redacted share), B (verbal reconstruction), or C (none named)."
CH3-SP-039,CH3-H-014,Secondary instrument: artifacts as context,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Measures/Artifacts,"Review objects the manager names in the incident via Path A (redacted share), B (verbal reconstruction), or C (none named)."
CH3-SP-040,CH3-H-015,Data Collection,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Data Collection,Execute one recorded 60–75 minute video interview plus artifact intake.
CH3-SP-041,CH3-H-015,Data Collection,Instrument questions,ITDR-GQI-INT-v0.1.1: Q0; Set L; Sets A–F; Q-close; skip-if-covered; boundary cases.,Data Collection,Execute one recorded 60–75 minute video interview plus artifact intake.
CH3-SP-042,CH3-H-016,Data Preparation and Management,Collection,"One-to-one recorded video interviews, 60–75 minutes, plus artifact intake Paths A/B/C.",Procedures,"Move RAW → CLEAN → ANALYTIC, with dated CSV nest backups."
CH3-SP-043,CH3-H-016,Data Preparation and Management,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Procedures,"Move RAW → CLEAN → ANALYTIC, with dated CSV nest backups."
CH3-SP-044,CH3-H-017,Qualitative Data Analysis,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Data Analysis,Name hybrid codebook TA as the method; keep Theme/Finding cells empty.
CH3-SP-045,CH3-H-017,Qualitative Data Analysis,Categories,"Grouped meaning units that describe the same salience-to-assurance bargain, named in Chapter IV.",Data Analysis,Name hybrid codebook TA as the method; keep Theme/Finding cells empty.
CH3-SP-046,CH3-H-017,Qualitative Data Analysis,Themes_ChIV,"Patterned-meaning claims, not topic headings, named in Chapter IV.",Data Analysis,Name hybrid codebook TA as the method; keep Theme/Finding cells empty.
CH3-SP-047,CH3-H-017,Qualitative Data Analysis,Findings_ChIV,Chapter IV reports. Not claimed in Chapter III.,Data Analysis,Name hybrid codebook TA as the method; keep Theme/Finding cells empty.
CH3-SP-048,CH3-H-018,Declaration of method,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Data Analysis,"Declare hybrid deductive–inductive codebook thematic analysis (Fereday & Muir-Cochrane, 2006)."
CH3-SP-049,CH3-H-018,Declaration of method,Categories,"Grouped meaning units that describe the same salience-to-assurance bargain, named in Chapter IV.",Data Analysis,"Declare hybrid deductive–inductive codebook thematic analysis (Fereday & Muir-Cochrane, 2006)."
CH3-SP-050,CH3-H-019,Why this method and not the adjacent alternatives,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Data Analysis,"Reject reflexive TA as method, purely inductive TA, confirmatory Mitchell coding, NIST scoring, and Delve-as-method."
CH3-SP-051,CH3-H-019,Why this method and not the adjacent alternatives,Framework,"Mitchell et al. (1997) power, legitimacy, urgency as sensitizing attributes; leverage as the enacted combination; PQ2 constructs as enactment probes.",Data Analysis,"Reject reflexive TA as method, purely inductive TA, confirmatory Mitchell coding, NIST scoring, and Delve-as-method."
CH3-SP-052,CH3-H-020,Analytic steps (adapted hybrid codebook TA),Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Data Analysis,"Follow the written hybrid steps: lock meaning units, apply template codes, add EMERGENT after lock, group, then name themes in Chapter IV."
CH3-SP-053,CH3-H-020,Analytic steps (adapted hybrid codebook TA),Categories,"Grouped meaning units that describe the same salience-to-assurance bargain, named in Chapter IV.",Data Analysis,"Follow the written hybrid steps: lock meaning units, apply template codes, add EMERGENT after lock, group, then name themes in Chapter IV."
CH3-SP-054,CH3-H-020,Analytic steps (adapted hybrid codebook TA),Themes_ChIV,"Patterned-meaning claims, not topic headings, named in Chapter IV.",Data Analysis,"Follow the written hybrid steps: lock meaning units, apply template codes, add EMERGENT after lock, group, then name themes in Chapter IV."
CH3-SP-055,CH3-H-021,Delve nested start-list (import; do not treat as themes),Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Data Analysis,Import the nested start-list as filing and sensitizing devices.
CH3-SP-056,CH3-H-022,Planned-analysis matrix,Instrument questions,ITDR-GQI-INT-v0.1.1: Q0; Set L; Sets A–F; Q-close; skip-if-covered; boundary cases.,Measures/Artifacts,"Map every question ID to PQ, structural code, and planned framework/boundary codes."
CH3-SP-057,CH3-H-022,Planned-analysis matrix,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Measures/Artifacts,"Map every question ID to PQ, structural code, and planned framework/boundary codes."
CH3-SP-058,CH3-H-022,Planned-analysis matrix,Questions,"Implied PQ1 (claim attention / salience shifts) and PQ2 (enactment as rights, escalation, proof). Official RQ wording will replace these labels when locked.",Measures/Artifacts,"Map every question ID to PQ, structural code, and planned framework/boundary codes."
CH3-SP-059,CH3-H-022,Planned-analysis matrix,Themes_ChIV,"Patterned-meaning claims, not topic headings, named in Chapter IV.",Measures/Artifacts,"Map every question ID to PQ, structural code, and planned framework/boundary codes."
CH3-SP-060,CH3-H-022,Planned-analysis matrix,Findings_ChIV,Chapter IV reports. Not claimed in Chapter III.,Measures/Artifacts,"Map every question ID to PQ, structural code, and planned framework/boundary codes."
CH3-SP-061,CH3-H-023,Ten control rules,Codes,"STRUCTURAL, FRAMEWORK_DEDUCTIVE, BOUNDARY, then EMERGENT after meaning-unit lock.",Data Analysis,"Govern coding, memoing, and write-up. A violation is a dependability incident logged the same day."
