id,marker,map_cluster,rating,evidence_header_ids,remaining_gap,next_howto,companion_link,status
CH3-AT-001,Topic / Problem,downward,Strong,CH3-H-001; CH3-H-006,Keep practice-problem wording; do not recast as tool failure.,_CHPT III_Assension_db/pages/H-001-introduction.md,docs/alignment-assessment-data-collection.md,current_chapter
CH3-AT-002,What We Know,downward,Strong,CH3-H-005; CH3-H-029,Keep original vs build-on classes; do not replace Mitchell definitions.,_CHPT III_Assension_db/pages/H-005-framework-role-sensitizing-not-confirmatory.md,docs/notion/templates/references.csv,current_chapter
CH3-AT-003,What We Don’t Know,downward,Strong,CH3-H-001; CH3-H-006,"Unknown remains enactment of salience as rights, escalation, and proof.",_CHPT III_Assension_db/pages/H-006-alignment-spine.md,docs/alignment-assessment-data-collection.md,current_chapter
CH3-AT-004,Gap,downward,Strong,CH3-H-001; CH3-H-006,"Who-cares / why-now stay on the Gap node, not as theme titles.",_CHPT III_Assension_db/pages/H-001-introduction.md,docs/alignment-assessment-data-collection.md,current_chapter
CH3-AT-005,Questions,downward,Partial,CH3-H-001; CH3-H-006; CH3-H-022,Official RQ wording is not locked; PQ1/PQ2 stand in. Paste approved RQs without changing the unit of analysis.,_CHPT III_Assension_db/pages/H-022-planned-analysis-matrix.md,docs/chapter-iii-methodology.md#planned-analysis-matrix,current_chapter
CH3-AT-006,Constructs / Phenomena / Variables,downward,Strong,CH3-H-005; CH3-H-013; CH3-H-021; CH3-H-023,Keep the seven labels as sensitizing probes. Do not promote them to Chapter IV headings.,_CHPT III_Assension_db/pages/H-005-framework-role-sensitizing-not-confirmatory.md,docs/symbols-definitions-refs.md,current_chapter
CH3-AT-007,Methodology,operations,Strong,CH3-H-002; CH3-H-003; CH3-H-004; CH3-H-018,Watch language drift into phenomenology or audit.,_CHPT III_Assension_db/pages/H-003-generic-qualitative-inquiry.md,docs/gqi-semistructured-interview-guide.md,current_chapter
CH3-AT-008,Measures/Artifacts,downward,Strong,CH3-H-011; CH3-H-012; CH3-H-014; CH3-H-022,"Artifact Path C must stay a boundary, not missing data.",_CHPT III_Assension_db/pages/H-012-primary-instrument.md,docs/gqi-semistructured-interview-guide.md,current_chapter
CH3-AT-009,Data Collection,operations,Strong,CH3-H-004; CH3-H-015,"Completeness is a collection standard, not a finding.",_CHPT III_Assension_db/pages/H-015-data-collection.md,docs/collection-analysis-revision-packet.md,current_chapter
CH3-AT-010,Procedures,quality,Strong,CH3-H-010; CH3-H-015; CH3-H-016; CH3-H-027,Keep artifact fallback and factual-only member check; they protect PQ2 talk.,_CHPT III_Assension_db/pages/H-027-ethical-protections.md,docs/collection-analysis-revision-packet.md,current_chapter
CH3-AT-011,Dependability,quality,Strong,CH3-H-016; CH3-H-023; CH3-H-026,Log control-rule violations the same day. Keep snippet URLs in the CSV nest.,_CHPT III_Assension_db/pages/H-023-ten-control-rules.md,docs/notion/README.md,current_chapter
CH3-AT-012,Population,operations,Strong,CH3-H-007; CH3-H-008,Stay inside 10–200 U.S. SME personnel; exclude vendor-only staff.,_CHPT III_Assension_db/pages/H-008-population.md,docs/chapter-iii-methodology.md#population,current_chapter
CH3-AT-013,Sample,operations,Strong,CH3-H-009,Do not claim n = 10–15 saturates the Gap. Stopping remains analytic.,_CHPT III_Assension_db/pages/H-009-sampling-strategy.md,docs/chapter-iii-methodology.md#sampling-strategy,current_chapter
CH3-AT-014,Recruitment,operations,Strong,CH3-H-010; CH3-H-027,"Never recruit through a supervisor, employer command chain, or vendor account manager.",_CHPT III_Assension_db/pages/H-010-recruitment.md,docs/chapter-iii-methodology.md#recruitment,current_chapter
CH3-AT-015,Data Analysis,downward,Strong,CH3-H-017; CH3-H-018; CH3-H-020; CH3-H-021; CH3-H-022; CH3-H-023; CH3-H-024,Theme and Finding columns stay empty. Codes are not themes.,_CHPT III_Assension_db/pages/H-018-declaration-of-method.md,docs/chapter-iii-methodology.md#qualitative-data-analysis,current_chapter
