code_id,parent_id,nested_level,pq,construct,code_name,description,what_it_is_not,example_type,question_ids,status,instrument_version
SENSITIZING_STARTLIST,,0,both,startlist,SENSITIZING_STARTLIST,"Parent for sensitizing probes imported from ITDR-GQI-INT-v0.1. Use to collect examples. Do not promote children to theme titles. Lock a meaning-unit practice sentence before any EMERGENT code is named.","Theme family; a priori findings","n/a",Q0,active,ITDR-GQI-INT-v0.1
PQ1_claim_attention,SENSITIZING_STARTLIST,1,PQ1,salience_cluster,PQ1_claim_attention,"Parent for whose claim counted and why attention moved in the named incident. Sensitizing only.","A PQ1 theme title","competing restore claims",L1 L2 L3 A1 A2 A3 B1 B2 C1 C2,active,ITDR-GQI-INT-v0.1
leverage_location,PQ1_claim_attention,2,PQ1,leverage_location,leverage_location,"Who actually moved restore order delayed an action or redefined done and what supplied that pull. Sensitizing probe only. Do not promote to a theme title. Lock a meaning-unit practice sentence first.","The word leverage in spoken questions; a finding that confirms Mitchell et al.","owner halted failover; payroll clock moved finance ahead of email",L1 L2 L3 Q-close,active,ITDR-GQI-INT-v0.1
power,PQ1_claim_attention,2,PQ1,power,power,"Capacity to force withhold or override in the named incident. Sensitizing probe only. Do not promote to a theme title. Lock a meaning-unit practice sentence first.","Spoken question using the word power; a priori theme","could delay override or stop a recovery action",A1 A2 A3,active,ITDR-GQI-INT-v0.1
legitimacy,PQ1_claim_attention,2,PQ1,legitimacy,legitimacy,"Claim treated as rightful because of role plan contract or regulation or treated as out of line. Sensitizing probe only. Do not promote to a theme title. Lock a meaning-unit practice sentence first.","Did you experience a legitimacy problem; a priori theme","request treated as they have a right to ask vs out of role",B1 B2,active,ITDR-GQI-INT-v0.1
urgency,PQ1_claim_attention,2,PQ1,urgency,urgency,"Time-critical demand that reordered attention. Spoken language is time-critical or time pressure. Sensitizing probe only. Do not promote to a theme title. Lock a meaning-unit practice sentence first.","Spoken question using the codebook word urgency unless the participant said it first; a priori theme","payroll window; customer SLA clock; ranking that changed mid-incident",C1 C2,active,ITDR-GQI-INT-v0.1
PQ2_enactment,SENSITIZING_STARTLIST,1,PQ2,enactment_cluster,PQ2_enactment,"Parent for how a salience shift was enacted as rights escalation and proof. Sensitizing only.","A PQ2 theme title","supposed vs actual decision maker",D1 D2 E1 E2 F1 F2 F3,active,ITDR-GQI-INT-v0.1
decision_rights,PQ2_enactment,2,PQ2,decision_rights,decision_rights,"Who was supposed to make the call versus who actually made it and whether needed authority was absent. Sensitizing probe only. Do not promote to a theme title.","A priori theme","unofficial decision maker; authority needed but not held",D1 D2,active,ITDR-GQI-INT-v0.1
escalation,PQ2_enactment,2,PQ2,escalation,escalation,"What triggered an escalation and whether it sped slowed or changed done. Nothing escalated is a boundary not a failed interview. Sensitizing probe only. Do not promote to a theme title.","Failed interview if no escalation; a priori theme","ticket raised to owner; no escalation occurred",E1 E2,active,ITDR-GQI-INT-v0.1
evidentiary_standards,PQ2_enactment,2,PQ2,evidentiary_standards,evidentiary_standards,"What counted as enough proof that the service was recovered and whether proof was renegotiated mid-incident. Sensitizing probe only. Do not promote to a theme title.","NIST ISO BCM scoring; a priori theme","user ping vs integrity check; different proof requested mid-incident",F1 F2,active,ITDR-GQI-INT-v0.1
recoverability_assurance,PQ2_enactment,2,PQ2,recoverability_assurance,recoverability_assurance,"What the manager would point to to defend restoration: log test approval ticket or verbal reconstruction. Path C no artifact is a boundary. Sensitizing probe only. Do not promote to a theme title.","NIST ISO BCM audit of the artifact; a priori theme","redacted ticket; verbal reconstruction of unused matrix",F3,active,ITDR-GQI-INT-v0.1
BOUNDARY,,0,both,boundary_parent,BOUNDARY,"Parent for negative and boundary cases required across the corpus. These limit over-broad claims. They are not failed interviews.","Missing data; failed session","n/a",E1 F3 L1,active,ITDR-GQI-INT-v0.1
no_escalation,BOUNDARY,1,PQ2,escalation,no_escalation,"Participant states nothing was escalated in the named incident. Record as boundary.","Failed interview","we never left the operations channel",E1 E2,active,ITDR-GQI-INT-v0.1
no_reviewable_proof,BOUNDARY,1,PQ2,recoverability_assurance,no_reviewable_proof,"Restoration accepted with no reviewable log test approval or ticket or Path C no artifact named.","Missing data that invalidates the interview","we just said it was up",F1 F3,active,ITDR-GQI-INT-v0.1
low_power_claim_won,BOUNDARY,1,PQ1,power,low_power_claim_won,"A claim from a party who could not force delay or override still moved restore order.","Coding error; ignore","help-desk lead request restored first against owner pressure",A1 A2 L1,active,ITDR-GQI-INT-v0.1
pull_unlocated,BOUNDARY,1,PQ1,leverage_location,pull_unlocated,"Manager cannot name who moved or could stop the decision. Valid none-observed memo.","Failed interview","I do not know who actually decided",L1 L2,active,ITDR-GQI-INT-v0.1
EMERGENT,,0,both,emergent_parent,EMERGENT,"Leave empty until meaning units are locked (Aronson 1994; Taylor and Bogdan 1998; Braun and Clarke 2021). Child codes created only in analysis Step 3. Never copy sensitizing names here.","Pre-named Power Legitimacy Urgency Leverage themes","n/a",,active,ITDR-GQI-INT-v0.1
